Sequence,survey.status,dev.status,ecosystem,upgr.backport,Count: 31
1865,finished,user,Ruby/Rubygems,NA,
1866,abandoned,developer,Maven,NA,
1867,abandoned,developer,Node.js/NPM,Neither agree nor disagree,
1868,abandoned,developer,Ruby/Rubygems,NA,
1869,abandoned,developer,other,NA,
1870,abandoned,developer,"Erlang,Elixir/Hex",NA,
1871,abandoned,developer,Ruby/Rubygems,Strongly disagree,
1872,abandoned,developer,other,NA,
1873,abandoned,developer,Go,NA,
1874,abandoned,developer,Maven,NA,
1875,finished,user,Atom (plugins),NA,
1876,abandoned,user,Eclipse (plugins),NA,
1877,abandoned,developer,other,NA,
1524,finished,developer,Maven,Strongly disagree,
1879,abandoned,developer,R/CRAN,NA,
1880,abandoned,developer,other,NA,
1881,abandoned,user,Eclipse (plugins),NA,
1882,abandoned,developer,Ruby/Rubygems,NA,
1883,abandoned,developer,Rust/Cargo,NA,
1884,abandoned,developer,Maven,NA,
1885,abandoned,developer,Ruby/Rubygems,NA,
1886,finished,user,Node.js/NPM,NA,
1887,abandoned,developer,Ruby/Rubygems,NA,
1888,abandoned,user,Maven,NA,
1889,abandoned,user,Go,NA,
1890,abandoned,developer,Ruby/Rubygems,NA,
1891,abandoned,developer,Go,NA,
1892,abandoned,developer,Ruby/Rubygems,NA,
1893,abandoned,developer,Maven,NA,
1894,finished,user,Node.js/NPM,NA,
1895,abandoned,developer,Maven,NA,
1896,finished,developer,Node.js/NPM,Strongly disagree,
1897,finished,developer,Node.js/NPM,Neither agree nor disagree,
1898,abandoned,developer,Rust/Cargo,NA,
1899,abandoned,developer,Go,NA,
1900,abandoned,developer,Ruby/Rubygems,NA,
1901,finished,developer,CocoaPods,Strongly agree,
1902,finished,developer,NuGet,Neither agree nor disagree,
1903,finished,developer,NuGet,Strongly disagree,
1697,finished,developer,Maven,Strongly disagree,
1905,finished,user,Eclipse (plugins),NA,
1906,finished,user,R/CRAN,NA,
1907,abandoned,developer,Eclipse (plugins),Somewhat disagree,
1908,finished,developer,NuGet,Somewhat disagree,
1909,finished,developer,Node.js/NPM,Somewhat agree,
1910,finished,user,Node.js/NPM,NA,
1911,abandoned,developer,Go,NA,
1912,abandoned,user,Go,NA,
1913,finished,developer,Node.js/NPM,Strongly disagree,
1914,finished,developer,Node.js/NPM,Somewhat disagree,
1915,finished,developer,Node.js/NPM,Strongly disagree,
1916,finished,developer,"Erlang,Elixir/Hex",Strongly disagree,
1917,finished,developer,Node.js/NPM,Neither agree nor disagree,
1918,finished,developer,Go,Somewhat disagree,
1919,finished,developer,other,Strongly disagree,
1920,finished,user,Atom (plugins),NA,
1921,finished,developer,other,Somewhat agree,
1922,finished,user,Atom (plugins),NA,
1923,finished,developer,"Erlang,Elixir/Hex",Somewhat agree,
1924,finished,developer,Ruby/Rubygems,Strongly disagree,
1925,finished,developer,"Erlang,Elixir/Hex",Somewhat agree,
1926,abandoned,developer,Rust/Cargo,NA,
1927,finished,developer,Ruby/Rubygems,Strongly disagree,
1928,abandoned,developer,Rust/Cargo,NA,
1929,finished,user,Atom (plugins),NA,
1930,finished,user,"Erlang,Elixir/Hex",NA,
1931,finished,user,CocoaPods,NA,
1932,finished,developer,Eclipse (plugins),Somewhat disagree,
1933,finished,developer,Node.js/NPM,Neither agree nor disagree,
1934,finished,developer,Node.js/NPM,Somewhat agree,
1935,finished,user,Atom (plugins),NA,
1936,finished,developer,"Erlang,Elixir/Hex",Somewhat disagree,
1937,finished,user,Atom (plugins),NA,
1938,finished,user,Atom (plugins),NA,
1939,finished,developer,Eclipse (plugins),Somewhat disagree,
1940,finished,user,Eclipse (plugins),NA,
1941,finished,developer,Eclipse (plugins),Somewhat disagree,
1942,finished,developer,Node.js/NPM,Somewhat disagree,
1943,finished,user,Go,NA,
1944,finished,user,CocoaPods,NA,
1945,finished,user,Eclipse (plugins),NA,
1946,abandoned,user,Eclipse (plugins),NA,
1947,abandoned,developer,NuGet,NA,
1948,abandoned,developer,Rust/Cargo,NA,
1949,finished,user,Atom (plugins),NA,
1950,finished,developer,Go,Neither agree nor disagree,
1951,finished,user,Lua/Luarocks,NA,
1952,abandoned,developer,Maven,NA,
1953,abandoned,user,Eclipse (plugins),NA,
1954,abandoned,developer,Maven,NA,
1955,abandoned,developer,other,NA,
1956,abandoned,user,other,NA,
1957,abandoned,developer,R/CRAN,NA,
1958,finished,user,Node.js/NPM,NA,
1959,abandoned,developer,other,Skipped,
1960,finished,developer,Eclipse (plugins),Neither agree nor disagree,
1961,abandoned,developer,Node.js/NPM,Strongly disagree,
1962,abandoned,developer,Go,NA,
1963,abandoned,developer,Go,NA,
1964,finished,user,"Erlang,Elixir/Hex",NA,
1965,finished,user,R/CRAN,NA,
1966,abandoned,developer,Node.js/NPM,NA,
1967,abandoned,developer,Node.js/NPM,NA,
1968,abandoned,developer,Node.js/NPM,NA,
1969,abandoned,developer,Node.js/NPM,NA,
1970,abandoned,developer,Go,NA,
1971,abandoned,developer,other,NA,
1972,abandoned,developer,CocoaPods,NA,
1973,abandoned,user,Atom (plugins),NA,
1974,abandoned,developer,Ruby/Rubygems,NA,
1975,abandoned,developer,Ruby/Rubygems,NA,
1976,abandoned,user,Atom (plugins),NA,
1977,abandoned,developer,Go,NA,
1978,abandoned,developer,other,NA,
1979,abandoned,user,Atom (plugins),NA,
1980,abandoned,developer,"Erlang,Elixir/Hex",NA,
1981,abandoned,user,CocoaPods,NA,
1982,abandoned,developer,Node.js/NPM,NA,
1983,abandoned,user,CocoaPods,NA,
1984,abandoned,developer,Atom (plugins),NA,
1985,abandoned,developer,Go,NA,
1986,abandoned,developer,CocoaPods,NA,
1987,abandoned,developer,CocoaPods,NA,
1988,abandoned,developer,Node.js/NPM,Strongly agree,
1989,abandoned,developer,other,NA,
1990,abandoned,developer,CocoaPods,NA,
1991,abandoned,developer,Haskell (Cabal/Hackage),NA,
1992,abandoned,developer,"Erlang,Elixir/Hex",NA,
1993,abandoned,developer,Maven,NA,
1994,abandoned,developer,"Erlang,Elixir/Hex",NA,
1995,abandoned,user,Ruby/Rubygems,NA,
1996,abandoned,user,CocoaPods,NA,
1997,abandoned,developer,CocoaPods,NA,
1998,finished,user,Node.js/NPM,NA,
1904,finished,developer,Maven,Strongly disagree,
2000,finished,user,Eclipse (plugins),NA,
2001,finished,developer,Node.js/NPM,Strongly disagree,
2002,abandoned,developer,Go,NA,
2003,abandoned,developer,Python/PyPi,NA,
2004,finished,user,Python/PyPi,NA,
2005,finished,user,Go,NA,
2006,finished,developer,"Erlang,Elixir/Hex",Strongly disagree,
2007,abandoned,developer,other,NA,
2008,abandoned,developer,Haskell (Cabal/Hackage),NA,
2009,abandoned,developer,Go,Neither agree nor disagree,
2010,abandoned,developer,Node.js/NPM,NA,
2011,abandoned,developer,CocoaPods,NA,
2012,finished,developer,CocoaPods,Strongly agree,
2013,abandoned,developer,"Erlang,Elixir/Hex",NA,
2014,abandoned,user,Python/PyPi,NA,
2015,finished,user,Eclipse (plugins),NA,
2016,finished,developer,Node.js/NPM,Strongly disagree,
2017,finished,developer,Node.js/NPM,Neither agree nor disagree,
2018,finished,developer,Go,Neither agree nor disagree,
2019,abandoned,developer,other,NA,
2020,abandoned,developer,other,NA,
2021,finished,user,CocoaPods,NA,
2022,abandoned,developer,Atom (plugins),NA,
2023,finished,developer,"Erlang,Elixir/Hex",Somewhat agree,
2024,finished,developer,Node.js/NPM,Neither agree nor disagree,
2025,abandoned,developer,other,NA,
2026,abandoned,user,Go,NA,
2027,abandoned,developer,Atom (plugins),NA,
2028,abandoned,developer,Go,NA,
2029,abandoned,developer,Ruby/Rubygems,NA,
2030,abandoned,developer,Eclipse (plugins),NA,
2031,finished,user,Eclipse (plugins),NA,
2032,abandoned,user,Maven,NA,
2033,abandoned,developer,"Erlang,Elixir/Hex",NA,
2034,abandoned,developer,other,NA,
2035,abandoned,developer,other,NA,
2036,abandoned,developer,Go,Strongly disagree,
2037,finished,developer,Eclipse (plugins),Somewhat agree,
2038,abandoned,developer,other,NA,
2039,finished,developer,CocoaPods,Somewhat disagree,
2040,finished,developer,Eclipse (plugins),Somewhat agree,
2041,abandoned,developer,Ruby/Rubygems,NA,
2042,finished,developer,Eclipse (plugins),Strongly disagree,
2043,finished,user,Eclipse (plugins),NA,
2044,abandoned,developer,Maven,NA,
2045,finished,developer,Go,Neither agree nor disagree,
2046,finished,user,Eclipse (plugins),NA,
2047,finished,developer,CocoaPods,Strongly disagree,
2048,finished,developer,Node.js/NPM,Strongly disagree,
2049,finished,user,Eclipse (plugins),NA,
2050,finished,developer,Ruby/Rubygems,Neither agree nor disagree,
2051,abandoned,user,Python/PyPi,NA,
2052,abandoned,developer,Go,NA,
2053,finished,developer,Eclipse (plugins),Strongly agree,
2054,finished,developer,"Erlang,Elixir/Hex",Neither agree nor disagree,
2055,abandoned,developer,CocoaPods,NA,
2056,finished,user,other,NA,
2057,finished,user,CocoaPods,NA,
2058,finished,developer,Go,Somewhat agree,
2059,abandoned,developer,Rust/Cargo,NA,
2060,finished,user,CocoaPods,NA,
2061,finished,user,"Erlang,Elixir/Hex",NA,
2062,finished,user,Eclipse (plugins),NA,
2063,abandoned,user,Haskell (Cabal/Hackage),NA,
2064,abandoned,developer,Haskell (Cabal/Hackage),NA,
2065,finished,developer,other,Somewhat agree,
2066,finished,developer,R/Bioconductor,Strongly agree,
2067,finished,user,other,NA,
2068,finished,developer,CocoaPods,Somewhat disagree,
2069,finished,user,Atom (plugins),NA,
2070,finished,user,other,NA,
2071,finished,developer,CocoaPods,Neither agree nor disagree,
2072,abandoned,developer,other,NA,
2073,finished,user,other,NA,
2074,abandoned,developer,other,NA,
2075,finished,user,Atom (plugins),NA,
2076,abandoned,developer,R/CRAN,NA,
2077,finished,user,Atom (plugins),NA,
2078,finished,developer,other,Strongly disagree,
2079,finished,developer,Node.js/NPM,Neither agree nor disagree,
2080,abandoned,developer,"Erlang,Elixir/Hex",NA,
2081,abandoned,developer,Ruby/Rubygems,NA,
2082,finished,user,Eclipse (plugins),NA,
2083,abandoned,developer,NuGet,NA,
2084,abandoned,developer,other,NA,
2085,abandoned,developer,other,NA,
2086,abandoned,developer,Go,NA,
2087,abandoned,user,NuGet,NA,
2088,finished,user,Atom (plugins),NA,
2089,abandoned,developer,NuGet,NA,
2090,finished,developer,Maven,Strongly disagree,
2091,finished,developer,CocoaPods,Strongly disagree,
2092,abandoned,developer,Lua/Luarocks,NA,
2093,abandoned,developer,NuGet,NA,
2094,finished,developer,Ruby/Rubygems,Somewhat agree,
2095,abandoned,developer,Node.js/NPM,NA,
2096,abandoned,developer,Node.js/NPM,NA,
2097,abandoned,developer,Node.js/NPM,NA,
2098,abandoned,developer,Node.js/NPM,NA,
2099,abandoned,developer,Node.js/NPM,NA,
2100,abandoned,developer,Go,NA,
2101,abandoned,user,Go,NA,
2102,abandoned,developer,"Erlang,Elixir/Hex",NA,
2103,abandoned,developer,Go,NA,
2104,finished,user,"Erlang,Elixir/Hex",NA,
2105,abandoned,developer,other,NA,
2106,finished,developer,Node.js/NPM,Somewhat agree,
2107,abandoned,developer,Node.js/NPM,NA,
2108,abandoned,developer,Eclipse (plugins),NA,
2109,abandoned,developer,CocoaPods,NA,
2110,abandoned,user,Go,NA,
2111,abandoned,developer,Ruby/Rubygems,NA,
2112,abandoned,developer,Atom (plugins),NA,
2113,abandoned,developer,other,NA,
2114,abandoned,developer,Node.js/NPM,NA,
2115,abandoned,developer,Atom (plugins),NA,
2116,abandoned,user,Node.js/NPM,NA,
2117,abandoned,developer,Atom (plugins),NA,
2118,abandoned,developer,Atom (plugins),NA,
2119,abandoned,developer,Node.js/NPM,NA,
2120,abandoned,developer,Node.js/NPM,NA,
2121,finished,user,Node.js/NPM,NA,
2122,abandoned,developer,Go,NA,
2123,abandoned,developer,other,NA,
2124,abandoned,developer,"Erlang,Elixir/Hex",NA,
2125,finished,developer,CocoaPods,Strongly disagree,
2126,abandoned,developer,other,NA,
2127,abandoned,developer,"Erlang,Elixir/Hex",NA,
2128,abandoned,developer,Node.js/NPM,Strongly disagree,
2129,abandoned,developer,Atom (plugins),NA,
2130,abandoned,developer,Perl/CPAN,NA,
2131,abandoned,developer,CocoaPods,NA,
2132,abandoned,developer,other,NA,
2133,abandoned,developer,Ruby/Rubygems,NA,
2134,abandoned,developer,Node.js/NPM,NA,
2135,abandoned,developer,Maven,NA,
2136,abandoned,developer,other,NA,
2137,abandoned,user,Go,NA,
2138,abandoned,developer,Node.js/NPM,NA,
2139,abandoned,user,R/CRAN,NA,
2140,abandoned,developer,other,NA,
2141,abandoned,developer,Haskell (Stack/Stackage),NA,
2142,abandoned,developer,other,NA,
2143,abandoned,user,Rust/Cargo,NA,
2144,abandoned,developer,Atom (plugins),NA,
2145,abandoned,developer,Node.js/NPM,NA,
2146,abandoned,developer,Atom (plugins),NA,
2147,abandoned,developer,Eclipse (plugins),NA,
2148,abandoned,developer,Eclipse (plugins),NA,
2149,abandoned,developer,CocoaPods,NA,
2150,abandoned,user,Node.js/NPM,NA,
2151,abandoned,developer,Go,NA,
2152,abandoned,developer,Eclipse (plugins),NA,
2153,abandoned,developer,other,NA,
2154,abandoned,developer,"Erlang,Elixir/Hex",NA,
2155,abandoned,developer,Node.js/NPM,NA,
2156,abandoned,developer,other,NA,
2157,abandoned,developer,"Erlang,Elixir/Hex",NA,
2158,abandoned,developer,Node.js/NPM,NA,
2159,abandoned,user,Node.js/NPM,NA,
2160,abandoned,developer,"Erlang,Elixir/Hex",NA,
2161,abandoned,developer,Node.js/NPM,NA,
2162,finished,user,Atom (plugins),NA,
2163,abandoned,developer,other,NA,
2164,abandoned,developer,"Erlang,Elixir/Hex",NA,
2165,abandoned,developer,"Erlang,Elixir/Hex",NA,
2166,finished,developer,CocoaPods,Somewhat agree,
2167,finished,user,Node.js/NPM,NA,
2168,finished,developer,Ruby/Rubygems,Strongly disagree,
2169,abandoned,developer,"Erlang,Elixir/Hex",NA,
2170,abandoned,developer,Eclipse (plugins),NA,
2171,finished,developer,Node.js/NPM,Somewhat disagree,
2172,abandoned,developer,CocoaPods,NA,
2173,abandoned,developer,CocoaPods,NA,
2174,abandoned,developer,CocoaPods,NA,
2175,abandoned,developer,Eclipse (plugins),NA,
2176,abandoned,developer,Eclipse (plugins),NA,
2177,abandoned,developer,CocoaPods,NA,
2178,abandoned,user,CocoaPods,NA,
2179,abandoned,developer,other,NA,
2180,abandoned,user,Eclipse (plugins),NA,
2181,abandoned,developer,Eclipse (plugins),NA,
2182,abandoned,developer,PHP/Packagist,NA,
2183,finished,developer,Eclipse (plugins),Neither agree nor disagree,
2184,abandoned,developer,other,NA,
2185,abandoned,developer,other,NA,
2186,abandoned,developer,Eclipse (plugins),NA,
2187,abandoned,user,CocoaPods,NA,
2188,abandoned,developer,CocoaPods,NA,
2189,abandoned,developer,Go,NA,
2190,abandoned,developer,CocoaPods,NA,
2191,abandoned,developer,other,NA,
2192,abandoned,developer,CocoaPods,NA,
2193,abandoned,developer,Eclipse (plugins),NA,
2194,abandoned,developer,CocoaPods,Neither agree nor disagree,
2195,finished,developer,CocoaPods,Somewhat agree,
2196,abandoned,developer,Ruby/Rubygems,NA,
2197,abandoned,developer,CocoaPods,NA,
2198,abandoned,developer,CocoaPods,NA,
2199,finished,developer,Python/PyPi,Strongly disagree,
2200,abandoned,user,CocoaPods,NA,
2201,abandoned,developer,Eclipse (plugins),Somewhat agree,
2202,abandoned,developer,other,NA,
2203,abandoned,developer,other,NA,
2204,abandoned,user,Eclipse (plugins),NA,
2205,abandoned,developer,Node.js/NPM,NA,
2206,finished,user,"Erlang,Elixir/Hex",NA,
2207,abandoned,user,CocoaPods,NA,
2208,abandoned,developer,Maven,NA,
2209,finished,developer,R/CRAN,Somewhat disagree,
2210,abandoned,developer,Python/PyPi,Somewhat disagree,
2211,abandoned,developer,Eclipse (plugins),NA,
2212,abandoned,developer,other,NA,
2213,abandoned,developer,other,NA,
2214,abandoned,developer,CocoaPods,NA,
2215,abandoned,developer,Go,NA,
2216,abandoned,developer,other,NA,
2217,finished,user,Eclipse (plugins),NA,
2218,abandoned,developer,"Erlang,Elixir/Hex",NA,
2219,finished,developer,other,Neither agree nor disagree,
2220,finished,developer,Eclipse (plugins),Somewhat disagree,
2221,finished,user,Eclipse (plugins),NA,
2222,finished,developer,Eclipse (plugins),Strongly disagree,
2223,abandoned,developer,other,NA,
2224,abandoned,developer,Go,NA,
2225,finished,developer,Eclipse (plugins),Strongly disagree,
2226,finished,developer,Eclipse (plugins),Somewhat agree,
2227,abandoned,developer,Maven,NA,
2228,abandoned,developer,other,NA,
2229,abandoned,developer,other,NA,
2230,abandoned,developer,Atom (plugins),NA,
2231,abandoned,developer,CocoaPods,NA,
2232,abandoned,developer,other,NA,
2233,finished,user,CocoaPods,NA,
2234,abandoned,developer,Eclipse (plugins),Neither agree nor disagree,
2235,finished,developer,Eclipse (plugins),Neither agree nor disagree,
2236,finished,developer,Ruby/Rubygems,Strongly agree,
2237,finished,user,other,NA,
2238,abandoned,developer,Atom (plugins),NA,
2239,finished,developer,Eclipse (plugins),Somewhat agree,
2240,finished,developer,Eclipse (plugins),Somewhat disagree,
2241,abandoned,developer,Atom (plugins),NA,
2242,abandoned,developer,other,NA,
2243,abandoned,user,Python/PyPi,NA,
2244,abandoned,developer,other,NA,
2245,abandoned,user,other,NA,
2246,abandoned,developer,CocoaPods,NA,
2247,abandoned,developer,"Erlang,Elixir/Hex",NA,
2248,abandoned,developer,other,NA,
2249,abandoned,developer,other,NA,
2250,abandoned,developer,Go,NA,
2251,abandoned,developer,other,NA,
2252,abandoned,developer,other,NA,
2253,abandoned,developer,PHP/Packagist,NA,
2254,finished,developer,Eclipse (plugins),Strongly disagree,
2255,finished,developer,CocoaPods,Strongly disagree,
2256,finished,developer,NuGet,Strongly disagree,
2257,finished,developer,PHP/Packagist,Somewhat disagree,
2258,finished,developer,PHP/Packagist,Strongly disagree,
2259,finished,developer,other,Neither agree nor disagree,
2260,finished,user,PHP/Packagist,NA,
2261,finished,developer,PHP/Packagist,Somewhat agree,
2262,finished,developer,Atom (plugins),Somewhat disagree,
2263,finished,developer,PHP/Packagist,Strongly disagree,
2264,finished,developer,PHP/Packagist,Neither agree nor disagree,
2265,finished,user,PHP/Packagist,NA,
2266,finished,developer,PHP/Packagist,Somewhat agree,
2267,finished,developer,CocoaPods,Neither agree nor disagree,
2268,finished,user,PHP/Packagist,NA,
2269,finished,user,PHP/Packagist,NA,
2270,finished,developer,other,Somewhat agree,
2271,finished,developer,PHP/Packagist,Strongly agree,
2272,abandoned,developer,Eclipse (plugins),NA,
2273,finished,user,PHP/Packagist,NA,
2274,abandoned,developer,Eclipse (plugins),NA,
2275,abandoned,developer,Eclipse (plugins),NA,
2276,abandoned,developer,Eclipse (plugins),NA,
2277,abandoned,developer,other,NA,
2278,abandoned,developer,other,NA,
2279,finished,developer,CocoaPods,Strongly disagree,
2280,abandoned,developer,Eclipse (plugins),NA,
2281,abandoned,developer,Eclipse (plugins),NA,
2282,abandoned,developer,Eclipse (plugins),NA,
2283,abandoned,developer,other,Skipped,
2284,abandoned,user,other,NA,
2285,abandoned,developer,other,NA,
2286,abandoned,user,Eclipse (plugins),NA,
2287,abandoned,user,Maven,NA,
2288,finished,developer,NuGet,Somewhat disagree,
2289,abandoned,developer,other,NA,
2290,abandoned,developer,CocoaPods,NA,
2291,abandoned,developer,PHP/Packagist,NA,
2292,abandoned,developer,PHP/Packagist,NA,
2293,abandoned,developer,CocoaPods,NA,
2294,abandoned,developer,PHP/Packagist,NA,
2295,abandoned,developer,other,NA,
2296,abandoned,developer,CocoaPods,NA,
2297,abandoned,developer,Eclipse (plugins),NA,
2298,abandoned,developer,other,NA,
2299,abandoned,developer,PHP/Packagist,NA,
2300,abandoned,developer,PHP/Packagist,NA,
2301,abandoned,user,PHP/Packagist,NA,
2302,abandoned,developer,other,NA,
2303,abandoned,user,Eclipse (plugins),NA,
2304,abandoned,developer,PHP/Packagist,NA,
2305,abandoned,developer,other,NA,
2306,abandoned,user,Eclipse (plugins),NA,
2307,abandoned,developer,Node.js/NPM,NA,
2308,abandoned,developer,Node.js/NPM,NA,
2309,abandoned,developer,PHP/Packagist,NA,
2310,abandoned,developer,other,NA,
2311,abandoned,developer,PHP/Packagist,Somewhat agree,
2312,abandoned,developer,Node.js/NPM,NA,
2313,finished,developer,Eclipse (plugins),Strongly disagree,
2314,finished,developer,"Erlang,Elixir/Hex",Strongly disagree,
2315,finished,developer,"Erlang,Elixir/Hex",Strongly disagree,
2316,abandoned,developer,CocoaPods,NA,
2317,abandoned,developer,other,NA,
2318,finished,developer,Eclipse (plugins),Strongly disagree,
2319,abandoned,developer,other,NA,
2320,abandoned,developer,Go,NA,
2321,abandoned,developer,other,NA,
